body,label,source,subject,synthetic
"Hello,

We are currently looking for motivated individuals to join our remote team with flexible hours.

Secure your position today by visiting:

http://www.fastcashoffers.com

Hurry, spots are limited!

Best regards,
RemoteJobs Team
",1,Assassin,[Urgent] Limited time offer - Earn $1500 weekly from home!,1
"Hello team,

Please find attached the weekly status report for the ongoing projects.

We have made significant progress on the integration module and are on track for the next milestone.

Let me know if you have any questions or need additional details.

Regards,
John D.

",0,Other3,[Internal] Weekly project status update,1
"    
  Home   | U.S.
  | World
  | Politics
  | SciTech
  | Health
  | Entertainment
  | 
Business   | 
Opinion   | 
Sports   | 
Blogs
  | 
Interactives 
| Video   	
  The Early Show
  | CBS
Evening News
  | 48 Hours
  | 60 Minutes
  | The
Saturday Early Show
  | 
CBS Sunday Morning
  | Face The
Nation   	
________________________________

  
________________________________

So much money is being spent in Iraq to fight the insurgency and keep
the country running that there are bound to be millions that fall
through the cracks. But could one or a few individuals have made off
with half a billion dollars? As correspondent Steve Kroft reports on our
lead story, somebody apparently did, making this robbery ""the mother of
all heists.""  The money was supposed to equip the new Iraqi military,
instead, say Iraqi investigators, it was stolen by the very people the
U.S. government had entrusted to run Iraq's Ministry of Defense. And
they just  might get away with it. The whole business has become a can
of worms, says  Kroft: ""Neither the United States nor its allies have
much of an appetite for pursuing it."" 

 

Watch

Steve Kroft's reporter's notebook.

 

 

How wonderful would it be if you could just take a pill to take the
sting out of bad memories? To the victims of post traumatic stress
disorder, it would truly be a breakthrough. In fact, correspondent
Lesley Stahl's report on a new use of an old drug suggests there is such
a pill that could help millions. Our story also looks into the ethical
questions involved. If such a drug were to be put on the market, would
it be limited to severe trauma victims, or, as critics say, would the
pharmaceutical industry try to profit by encouraging its use for a wide
array of situations? It would seem the perfect treatment for a rape
victim, but what about for a painful breakup or even a bad day at the
office?  One ethicist tells Stahl those kinds of bad memories are
integral to who we are: ""They make us better people.""

 

Watch

Lesley Stahl's reporter's notebook.

 

 

John Daly is the bad boy of golf. He trains on a steady diet of fast
food, cigarettes and beer. But that's only the tip of the iceberg when
it comes to Daly's bad boy habits. Daly tells correspondent Morley
Safer, ""I was a basket case you know? When I got mad, I threw
clubs...And if things weren't going well, I would walk off a course.""

 

See these stories and whether Andy Rooney is an ""A"" or a ""B""
personality, this Sunday, June 17, on 60 Minutes at 7 p.m. ET/PT.

 

For an early look at this week's stories, please click here
 .

  

 


	
	
	Advertisement
 
 
________________________________

________________________________

To unsubscribe or change your subscription options, click here
 .
Contact: Email Administrator, CBSNews.com, 524 W. 57th St., Room 514/1,
New York, NY, 10019
Help
  | 
Advertise   | Terms of Service
  | 
Privacy Statement
 
(c)MMVII, CBS Interactive Inc. All Rights Reserved. 
 
",0,TREC-07,60 Minutes E-mail Alert,0
"Dear valued customer,

We have detected unusual activity on your account. To prevent unauthorized access, please verify your details immediately by visiting the secure link below:

https://secure-verification.example.com/login

Failure to verify within 48 hours will result in temporary suspension of your account.

Thank you for your prompt attention.

Best regards,
Security Team

---
This is an automated message. Please do not reply directly to this email.
",1,Assassin,Re: Urgent - Secure your account access now!,1
"Hello team,

Please find attached the schedule for the upcoming quarterly meeting.

Let me know if you have any conflicts or questions.

Best,
Jane Doe

Company Internal Communications

",0,Other3,[Update] Quarterly Meeting Schedule,1
"Anatrim – The latest and most attracting product for corpulent people is now available – As seen on Oprah
Did you realize that redundant body kilograms kill very much people around the whole world? We believe you hate the ugly appearance of people like those and the social prejudice against them. 

Or, maybe, you have not the will to withstand an assault of your terrible eating habits. If you see it sounds familiar, then we got something for your consideration!

Here Anatrim comes, the new product for the elimination of your body’s extra weight. The most astonishing thing is that Anatrim improves the quality of your life, making you eat less and always cheering you up. Here you may read some notes received from our customers:

""This is a great thing! 

Instead of eating anything close at hand and watching TV constantly 

I became rather more interested in doing sport.

 Anatrim set me back on the right track.

 I have a great figure now and lots of men fix their eyes on me!""

Victoria K., Chicago

""I tried some passive weight losing, you know, but with no result. This terrible appetite would just kick in and spoil everything. 

Once I heard on Anatrim in the media advertisement and it brought a great influence on me.

 I had tried using it, and my wife said that I’m not more a weighty man now, 3 months later. 

25 pounds off and I keep still losing them! 

And you know, the bedroom thing is cool, too.""

Steve Doubt, New York

Anatrim helps you to realize that you doesn’t have such a great need for the constant eating. It lifts your mood up, gives you energy, and attacks needless kilos. All thanks to its powerful comprehensive formula!!
Worm out more! 
",1,TREC-07,Become fit and happy again,0
"Dear valued customer,

We have an exclusive offer just for you! Act now to secure your financial freedom.

Click the link below to claim your bonus:

http://secure-earnings.com/claim

Hurry, this deal expires soon!

Best regards,
Finance Team

Note: This is a confidential message intended only for the recipient.",1,Assassin,[Urgent] Limited-Time Offer - Earn $$$ Fast!,1
"_ # BUY PRODUCTS _ # 70 to 80% # BELOW_ _WHOLESALE _ # NEW, AND IN QUANTITIES YOU NEED # A SINGLE UNIT, A PALLET,   OR A TRUCKLOAD _ ### 1\. Do you consider yourself ""FINANCIALLY SECURE""? ### 2\. Are you still looking for a very Real Business that can provide y= ou and your family with the lifestyle you desire and deserve? _Or,just a seco= nd income in your spare time? _ ### 3\. Would you invest $66.50 (A 25% discount off of our regular price = of $99.95 during this limited time promotion. ) in a business that could ma= ke you ""FINANCIALLY SECURE""? ### If so, read on: ### This is not a get rich quick scheme, but, it is a way for you to get= into a business with a minimal investment and, may be your first step towards= a rewarding first, or second income. For the longest time, only those, who= were able to make large investments were able to take advantage of this type = of a business. We have made it possible for everyone to do it, and at a price everyone can afford. ** ** ### Corporate America has conditioned us to believe that security comes = from employment. Yet layoffs are hitting an all time high, major corporations= are failing and we hope to never become the victims of this downsizing, care= er burn out, illness or injury. ### There was a time, when finding another job was not a problem, but to= day, the frightening reality for a lot of people is that ""the plastic in their wallets determines the quality of their lives."" ### The hard facts show that our economy has moved from the industrial a= ge into the INFORMATION, SERVICE AND RETAIL AGE. No longer can you depend o= n the corporation to provide your family with the security you seek. ### If you are TIRED OF LIVING FROM PAYCHECK TO PAYCHECK, and are willin= g to work a few hours per week, than this may be for you. ### Please read further: ### We will show you how you can buy, new, not out of date, products for= PENNIES on the WHOLESALE DOLLAR. We will not just= send a list, or catalog of where you can buy, but actual point and click DATABA= SE with hyperlinks to suppliers=FFFFFF92 websites and specials pages, with = email addresses, phone and fax numbers, and their current HOT listings. Unlike others=FFFFFF92 distribution businesses where you are p= rovided with WHOLESALE CATALOGS, out of date CD's, or lists of Government Auctions th= at sell Jeeps for $10, (which are a myth), we provide an unlimited virtual database of items at up to 95% below wholesale from liquidators, not wholesalers, that is up-dated on a weekly/daily basis by the suppliers. = And the products are available for immediate purchase and shipping to you. ### This database is designed for the individual or a small business. Al= though there are suppliers in this database selling in large quantities, most a= re selected for their flexability in being willing sell in small quantities= at great savings (80 to 95% Below Wholesale) ### You will be able to buy such items as RCA Stereos that retail for $2= 50.00+ for $20.00, New Boom Boxes for $12.50 each, Palm Pilots for $39.00, Cell= Phone Antenna Boosters that sell on TV for $19.95- - for .16 cents, Perfect Pa= ncake makers as seen on TV for $19.95, for$6.50, Disney Kids' clothes at $1.85= /unit, or Pentium computers for as little as $11.00. ### If you would like to see some sample listings and featured specials, please email us adddata7080@excite.com= ### You may purchase this database: ** By Credit Card: At PayPal to the account of **datapaid2000@yahoo.com ### By Phone with Credit Card at 502-741-8154 ### Check by Fax To: ### Specialty Products 502-244-1373 (Just write a check and fax it to the above number, NO NEED TO MAIL)<= /p> ### (Please include email address for the transmission of database.) ** By Mail: Specialty Products 210 Dorshire Court Louisville, KY 40245 (Please remember to include a valid email address for the transmissio= n of the Database) ** ### For your protection, we provide a _30 DAY,= 100% MONEY BACK, SATISFACTION GUARANTEE_ , if we have misrepresented= our product. ### What do you get for your $66.50 investment:<= /font> ### A, fully executable, database of 100=FFFFFF92s of suppliers with hyp= erlinks to their websites, fax and phone numbers and a description of what type of product they handle and current product specials. _ ### And, ""On-going telephone support during normal business hours.&= quot; _ ### Since this is such a fast changing business, with new products being= added and deleted on a weekly or even a daily basis, all data will be provided within 24 hours of receipt of payment via email file transfer. ( no wait= ing or shipping and handling costs) The $66.50 i= s your __total__ one time cost. ### This DATABASE is for individuals who recognize an opportunity to mak= e a substantial income. Keep in mind, everyone likes a bargain, and even mor= e so when the economy is down. So, even if you just want to buy for your own = use, a single purchase could repay your initial investment. And, remember we pr= ovide a _30day, full refund satisfaction guarantee. <= /font>_ ### We know that this has been a brief description, and you may want additional information. You may email us at adddata7080@excite.com for additional information and a sample of listings currently being offe= red by various suppliers. (If you give us some idea of = what types of products interest you, we will try to include some sample listi= ngs of those products.) ### We look forward to being of service in your new venture. **Specialty Products** takeoffemail= databaseclickhere",1,Assassin,~~ 80 to 95% BELOW WHOLESALE              28534,0
"fyi , kim .
- - - - - original message - - - - -
from : hartfield , rita
sent : friday , september 28 , 2001 2 : 25 pm
to : alamo , joseph ; allegretti , daniel ; allen , joe ; alvarez , ramon ; arefieva , maria ; barnes , lynnette ; bellas , kirsten ; benson , eric ; binns , darran ; boatman , jack ; bolton , scott ; boston , jerry ; boston , roy ; bradley , rob ; briggs , tom ; buerger , rubena ; cady , rachel ; canovas , guillermo ; cantrell , rebecca w . ; comnes , alan ; cooney , carolyn ; cordes , bill ; corman , shelley ; dasovich , jeff ; decker , larry ; dernehl , ginger ; donoho , lindy ; dowd , stephen ; dressler , jean ; farrell , sharon ; floris , vinio ; frank , robert ; fromer , howard ; fulton , donna ; gomez , julie a . ; gottfredson , bryan ; guerrero , janel ; hamilton , allison ; hardy jr , john ; harris , steven ; hawkins , bernadette ; hayes , robert ; hemstock , robert ; hetrick , nancy ; horton , stanley ; huang , karen ; hueter , barbara a . ; hunter , bevin ; huson , margaret ; ingersoll , richard ; kaufman , paul ; kean , steven j . ; keene , patrick ; kingerski , harry ; kishigami , kikumi ; knight , laurie ; landwehr , susan m . ; lassere , donald ; lawner , leslie ; lawrence , linda l . ; leibman , lara ; leonardo , sam ; levy , alberto ; linnell , elizabeth ; mangskau , david ; maurer , luiz ; mccarty , danny ; mcvicker , maureen ; migden , janine ; miller , terri ; montovano , steve ; moore , bill ; mrha , jean ; nersesian , carin ; neustaedter , robert ; nicolay , christi l . ; noske , linda j . ; novosel , sarah ; ogenyi , gloria ; palmer , germain ; perez , carmen ; perrino , dave ; petrochko , mona l . ; pharms , melinda ; reblitz , scott ; reyna , margo ; rishe , frank ; rizzo , helen ; roan , michael ; robertson , linda ; robinson , marchris ; rodriquez , andy ; rosenberg , david e . ; ryall , jean ; shapiro , richard ; shelk , john ; shortridge , pat ; staines , dan ; steffes , james d . ; stroup , kerry ; sullivan , kathleen ; sullivan , lora ; thome , jennifer ; tiberi , fino ; tu , denis ; twiggs , thane ; walton , steve ; warner , geriann ; watson , kimberly ; yeung , charles ; yoho , lisa
subject : september gas flows
attached is the september issue of gas flows which addresses natural gas prices & demand and canadian supply .
rita hartfield
phone : 713 - 853 - 5854
fax : 713 - 646 - 4702
cell : 713 - 504 - 5428
rita . hartfield @ enron . com",0,Enron,fw : september gas flows,0
"Hi team,

Please find attached the notes from today's project kickoff meeting.
We discussed timelines, deliverables, and assigned initial tasks.
Let me know if you have any questions or need further details.

Thanks,
Alice

---
Alice Johnson
Project Manager
alice.johnson@company.com

Confidentiality Notice: This message is intended only for the recipient.",0,Other2,Meeting notes from the project kickoff session,1
"On Thu, 25 Jul 2002 11:07:00 +0200, Matthias Saou  wrote: > Once upon a time, Lance wrote : >  > > Well, from the looks of things, I can import all my mail settings from > > Evolution to Sylpheed.  Has anyone successfully run Sylpheed in Gnome > > 2.0?  I noticed with 'apt-get install gnome-session' from the 'rpm > > http://apt.sunnmore.net gnome2 73' repository, Sylpheed isn't one of the > > packages selected for deletion. >  > I think that's simply because Sylpheed isn't a GNOME application, but a > ""simple"" gtk+ one. It needs no GNOME libs at all, so upgrading to GNOME 2 > but keeping gtk+ 1.2 will let you keep Sylpheed with no problem.     Yeah, mine works here; I did about the same thing.     Hey: ""Universe""   I saw this keyword on the gstreamer website.  They said something like ""If you're feeling froggy and want to jump into it, use apt-get gstreamer-universe"" but I've not gotten the syntax of it right, to get ""all"" of a project yet.  Has anyone used this yet? ------------------------------------------------------------------------ Brian Fahrlnder              Linux Zealot, Conservative, and Technomad Evansville, IN                    My Voyage: http://www.CounterMoon.com ICQ  5119262 ------------------------------------------------------------------------ I don't want to hear news from Isreal until the news contains the words ""Bullet"", ""Brain"", and ""Arafat"". _______________________________________________ RPM-List mailing list  http://lists.freshrpms.net/mailman/listinfo/rpm-list",0,Assassin,Re: apt-get...universe (was: Sylpheed with GNOME 2,0
"All department heads are requested to submit their quarterly financial reports by May 5th.

Please upload the finalized reports to the corporate finance portal at

https://financeportal.company.com/reports

For assistance, contact the finance helpdesk.

",1,TREC-07,Quarterly financial report submission deadline,1
"vince ,
we wanted to thank you for your time and support today . we have been
thinking about our conversation and it may be better to wait until december
before you approached delainey . this time period would give us the
opportunity to change his impression of our contributions to gas and power .
please let us know if you would advise differently .
thank you ,
kristin and john",0,Enron,lunch conversation,0
"On Wed, Mar 19, 2008 at 2:15 PM,   wrote:
>
>  On 02:21 pm, murman@gmail.com wrote:
>  >>OTOH, I'd rather there be OOWTDI so whatever the consensus is is fine
>  >>with me.
>  >
>  >This strikes me as a gratuitous API change of the kind Guido was
>  >warning about in his recent post: ""Don't change your APIs incompatibly
>  >when porting to Py3k""
>
>  I agree emphatically.  Actually I think this is the most extreme case.
>  The unit test stuff should be as stable as humanly possible between 2
>  and 3, moreso than any other library.

This is convincing for me. Move my +1 back to 3.1.

-- 
Namasté,
Jeffrey Yasskin
_______________________________________________
Python-Dev mailing list
Python-Dev@python.org
http://mail.python.org/mailman/listinfo/python-dev
Unsubscribe: http://mail.python.org/mailman/options/python-dev/python-dev%40tangomu.com

",0,CEAS-08,Re: [Python-Dev] unittest's redundant assertions: asserts vs.	failIf/Unlesses,0
"Andrew,

 > Perhaps tridge can detail the steps he required to have GPOs working
 > (before I got MMC going). 

yep, I'd be delighted to. I'm travelling at the moment however, and
right now I need to sleep, then tomorrow I fly home. When I've
recovered I'd love to work with some people trying out GPOs.

Cheers, Tridge

",0,TREC-07,Re: Samba TP6?,0
"
Dear d7676e9cd908474e8bcf5638be1a1af7

Summer is a exact time to take a week off at work and think about your health & personal life.

And we are glad to help you with it.

 From now on till 30th of September you can use our special offer.

Visit our site for more details.

herrespect.com

20 May 2003 19:05:44


",1,CEAS-08,Extended courier service delivers everything you order at our chemists.,0
"First, the test (rearranged to include only the relevant parts):

+.sub main :main
+    .local string ok, not_ok
+    ok = ""ok""
+    not_ok = ""not ok""
+    
+    # if 'not ok' is printed, it means that the lexical environment
+    # for the first closure in each pair, (where ""out"" = ""ok"")
+    # was overwritten by the lexical environment created for the
+    # second closure (where ""out"" = ""not ok"")
+    
+    $P10 = makebar_clone(ok)
+    $P20 = makebar_clone(not_ok)
+    $P10()
+.end
+
+.sub makebar_clone
+    .param pmc out
+    .lex 'out', out
+    .const .Sub s = 'bar'
+    $P0 = clone s
+    .return($P0)
+.end
+
+.sub bar :outer(makebar_clone)
+    $P0 = find_lex 'out'
+    say $P0
+.end

(This prints ""not ok"". The test in the patch expects ""ok"".)

You're arguing that the different copies of ""bar"" that are returned from makebar_clone 
should have different lexical environments. I'm pretty sure that this is not the case. Without 
using ""newclosure"", there's no closure so the lexical environments are the same.

What the :outer does in this case is rearrange the lexical stack so that ""makebar_clone"" 
appears in the lexical stack for ""bar"". So we're using the lexical environment from the last 
time that ""makebar_clone"" was called. It's bizarre that this even works because without the 
closure, I'd think that the lexical environment would have destroyed.

I'm not sure how intentional this is. The PDD isn't clear (to me) about what :outer means in 
the absence of ""newclosure"". I'd definitely be interested in seeing why this would be a useful 
feature. More detail in the PDD would be nice.

Thanks for the interesting patch.

--
Matt Diephouse


",0,TREC-07,[perl #42300] [PATCH] t/pmc/sub.t: test for creation of lex by clone op ,0
"All departments are requested to submit their quarterly financial reports by the end of this week.

Please upload the documents at:

http://finance.company.com/reports

Contact finance support for assistance.

",0,TREC-07,Quarterly Financial Report Submission Reminder,1
"Please be advised that routine maintenance will occur on Saturday, from 1 AM to 3 AM.

During this time, access to the email system may be intermittent.

For details, visit

http://intranet.company.com/maintenance

Thank you for your understanding.

",1,TREC-07,Scheduled System Maintenance Notification,1
"People are required on a temporary basis to assist in the money transit operations.

please visit

http://www.largevalue.net

for more information.

",1,TREC-07,Part-Time opportunity - $2000/week,0
"
Buy the Patek Philippe watch and know everything about time! 

Find the best replica rolex, Jewelry etc. 

Choice IWC replica watches at Replica Classics   

http://asterduskyhah.com/


",1,CEAS-08,Replica Rolex Swiss Watches   ,0
"On Sat, 2007-04-28 at 00:43 +0200, Andreas Fredriksson wrote:
> Hi,
> I'd like to get a rough idea on how much work it would be to port
> Samba to a non-unix platform. My plan was to use a slimmed-down samba
> to read and write files on a particularly unfriendly piece of
> proprietary hardware we use at work. I'm fine with a minimalistic
> samba as this port would be for internal, single-developer use and not
> intended for file serving in general.

Andreas,
this kind of question would be served better if posted on
samba-technical@samba.org as it is about technical matters.

> Here are some things I'm wondering about, given the background:
> 
> 1) Is fork() required, or could it be emulated via threads?
> 
> 2) Could nmdb and smbd share a single process w.r.t 1) or is even
> possible to drop nmdb and just serve stuff slowly with a single smbd
> process?
> 
> 3) Is Samba very tightly tied to the POSIX file/directory APIs? My
> intended target system has a rich I/O API (including async
> capabilities and various bells and whistles) but the APIs are fairly
> exotic and don't map well to e.g. DIR and file descriptors.
> 
> 4) Is there a checklist somewhere of stuff a target system for
> smbd/nmbd would have to support to make a port feasible?

If you don't have fork, and have a btter I/O API I'd direct you at
looking at samba4.

Samba4 can run in a single process.

Samba4 integrates the NBT functionality without requiring a second
daemon.

In Samba4 you can write NTVFS modules without necessarily using posix
semantics (like samba3 vfs layer require instead).

While samba4 is still not released it should be ok for the kind of use
you have in mind.

Samba4 can have a better memory footprint as well.

Simo.

-- 
Simo Sorce
Samba Team GPL Compliance Officer
email: idra@samba.org
http://samba.org

",0,TREC-07,Re: [Samba] Guide to porting to non-unix like systems?,0
"to all -
as you may already know , the short term west hourly desk began trading the enron online hourly market on monday . these deals should be treated just like all short term west hourly deals - they do not need to be confirmed . unfortunately , it seems the eol application created for us is defaulting to "" yes - confirm , "" and west hourly deals are being pulled into your batches of confirmation letters .
i ' ve spoken with the eol help desk about changing this default setting , and they ' ve informed me that it may take a day or two to make that change . in the meantime , i wanted to make you aware of these deals ' existence . you will be seeing larger numbers of trades from the short term west hourly desk in the future , and many of these will be made on eol . again , these should be treated as with any other west hourly deal and do not need to be confirmed .
please let me know if you have any questions about this . i ' ll let you know as soon as i ' ve heard more conclusive information from eol . and thanks for your help .
kate symes
real time trading support
503 - 464 - 3939",0,Enron,west hourly eol trades - no confirm,0
"The IT department will perform routine maintenance on all servers from 10 PM to 2 AM.

Please save your work and log off before this time.

For details, visit

http://intranet.company.com/maintenance

Thank you for your cooperation.

",1,TREC-07,Monthly system maintenance scheduled,1
"Hello,

This is a reminder to submit your weekly project status reports by end of day Friday.

Please upload your reports to:

http://reports.company.com/upload

For assistance, contact the IT helpdesk.

Best regards,
Project Management Office
",0,TREC-07,Weekly Report Submission Reminder,1
"Dear valued customer,

We have a limited time opportunity for you to boost your earnings by working from home.

Visit our secure portal now:

http://www.quickcashsecure.net

Don't miss out on this chance to change your life forever.

Best regards,
Customer Support Team

Note: This offer expires soon. Act now!",1,Assassin,[URGENT] Increase your income with this exclusive offer!,1
"Hi team,

Please find attached the agenda for our meeting scheduled on Wednesday at 10 AM.
Let me know if you have any other topics to discuss.

Best regards,
John Doe

Company Internal Communications",0,Other3,Re: Meeting agenda for next week,1
"Hello team,

Please find attached the monthly status report for our project.

Let me know if you have any questions or need further details.

Thanks,
Jessica

---
Jessica Smith
Project Manager
Company XYZ
Email: jessica.smith@companyxyz.com
Phone: +1-555-123-4567
",0,Other3,[Team Update] Monthly status report,1
"TimH:

>Its possibly a different Shauna Lowery: The one I'm talking about is 
>about 7 foot tall and presents ""Animal Hospital"" or something like 
>that.


Ahhh, I'm getting my Lowry's(sp) mixed up

I was thinking of Lowry Turner of DIY SOS

about 3 feet shorter

Dave

To unsubscribe from this group, send an email to:
forteana-unsubscribe@egroups.com

 

Your use of Yahoo! Groups is subject to http://docs.yahoo.com/info/terms/",0,Assassin,RE: [zzzzteana] Re: Archer-UK TV Alert,0
