subject,body,label,source,data_type,sample_id,generation_timestamp,source_file,file_index,umap_x,umap_y,hover_text
mg - st . louis office,see attached memo regarding my visit to the mg - st . louis office .,0,Enron,Real,,,,,10.305252,4.1205177,Data Type: Real<br>Label: 0<br>Subject: mg - st . louis office...<br>Body: see attached memo regarding my visit to the mg - st . louis office ....
Cron <yyyy@dogma> /home/yyyy/logs/runme,"/etc/rc.d/init.d/httpd: kill: (21982) - No such pid
/etc/rc.d/init.d/httpd: kill: (21981) - No such pid",0,Assassin,Real,,,,,10.20508,3.8579385,"Data Type: Real<br>Label: 0<br>Subject: Cron <yyyy@dogma> /home/yyyy/logs/runme...<br>Body: /etc/rc.d/init.d/httpd: kill: (21982) - No such pid
/etc/rc.d/init.d/httpd: kill: (21981) - No such ..."
start date : 2 / 5 / 02 ; hourahead hour : 18 ;,"start date : 2 / 5 / 02 ; hourahead hour : 18 ; no ancillary schedules awarded . no variances detected .
log messages :
parsing file - - > > o : \\ portland \\ westdesk \\ california scheduling \\ iso final schedules \\ 2002020518 . txt
! ! ! general sql error .
couldn ' t update ; currently locked by user ' admin ' on machine ' nahou - trdts 5 ' .
table
- - - - energy import / export schedule - - - -
* * * final schedule not found for preferred schedule .
details :
trans _ type : final
sc _ id : ectstnw
mkt _ type : 2
trans _ date : 2 / 5 / 02
tie _ point : malin _ 5 _ rndmtn
interchg _ id : enrj _ ciso _ 3000
engy _ type : firm",0,Enron,Real,,,,,9.60594,0.7898489,Data Type: Real<br>Label: 0<br>Subject: start date : 2 / 5 / 02 ; hourahead hour : 18 ;...<br>Body: start date : 2 / 5 / 02 ; hourahead hour : 18 ; no ancillary schedules awarded . no variances detect...
floor heating under tile - easiest system on the market,"easily installed electric floor heating mats
electric floor heating is the most popular and fastest growing floor renovation today . we have the easiest and fastest installation on the market . better yet , we offer great factory direct prices to you . we offer more choices : 1 . no thin set ! 2 . single mats from 8 - 110 sq . ft . 3 . ultra thin wiring 4 . zero electro magnetic force 5 . install 50 sq . ft . , in as little as 30 min . visit our web site to see our amazing installation demo
warmly , floorheatech 3601 devon avechicago , il 60659888 - 811 - 4328 www . floorheatech . com
click here to forward this mail to others
we apologize if you have received this email by mistake , click - here and we will take you off our list
address : 3601 w . devon city : chicago st : il zip : 60659 powered by abuse",1,Enron,Real,,,,,8.139208,4.318637,"Data Type: Real<br>Label: 1<br>Subject: floor heating under tile - easiest system on the m...<br>Body: easily installed electric floor heating mats
electric floor heating is the most popular and fastest ..."
Perfect way to get more manly,"It's a prodigious means of your becoming really well hung, dude!
The earlier you commence, the sooner you notice the results!
http://milddear.com/


conversing in heavily accented English. It bothered him also toFor the duration of the war, George Soros became Janos Kis.his father grimace in pain as he realized that the Nazis were rounding",1,CEAS-08,Real,,,,,9.6116295,2.897273,"Data Type: Real<br>Label: 1<br>Subject: Perfect way to get more manly...<br>Body: It's a prodigious means of your becoming really well hung, dude!
The earlier you commence, the soone..."
Real Enlargement,"
Many surveys have shown that ladies prefer their man to have a huge manhood.

Size DOES matter, and unfortunately, many traditional methods to increase size simply DON'T work, and are very inconvenient. 

http://pillmust.com/


",1,CEAS-08,Real,,,,,10.224842,2.4195375,"Data Type: Real<br>Label: 1<br>Subject: Real Enlargement...<br>Body: 
Many surveys have shown that ladies prefer their man to have a huge manhood.

Size DOES matter, and..."
[R] Goodness of fit- Pareto distribution,"
Hello, I have fitted a Pareto Distribution for some data,  I would appreciate
if anyone can tell me how to evaluate the goodness of fit for the
distribution. What I do now is rather subjective. I just compare the
emprcical density distribution and the fitted density distribution.


-- 
View this message in context: http://www.nabble.com/Goodness-of-fit--Pareto-distribution-tf3922663.html#a11123100
Sent from the R help mailing list archive at Nabble.com.

______________________________________________
R-help@stat.math.ethz.ch mailing list
https://stat.ethz.ch/mailman/listinfo/r-help
PLEASE do read the posting guide http://www.R-project.org/posting-guide.html
and provide commented, minimal, self-contained, reproducible code.

",0,TREC-07,Real,,,,,3.6663373,-11.37366,"Data Type: Real<br>Label: 0<br>Subject: [R] Goodness of fit- Pareto distribution...<br>Body: 
Hello, I have fitted a Pareto Distribution for some data,  I would appreciate
if anyone can tell me..."
Re: Problems with arrays,"On 20 Jun., 15:58, andrew.cu...@pa-sport.com (Andrew Curry) wrote:
> You could do it a couple of ways the way I would go about it is
>
> My(@arr1,@arr2,@arr3);
> mol2_read($opts{m},\\@arr1,\\@arr2,\\@arr3);
>
> sub mol2_read {
> My($opt_m,$arr1,$arr2,$arr3)=@_;
>
> #
> # code to do what you want with the above
> #
>        return;
>
> }

OK,
thanks Andrew!
It works!


-- 
To unsubscribe, e-mail: beginners-unsubscribe@perl.org
For additional commands, e-mail: beginners-help@perl.org
http://learn.perl.org/


",0,TREC-07,Real,,,,,24.982492,-1.1585381,"Data Type: Real<br>Label: 0<br>Subject: Re: Problems with arrays...<br>Body: On 20 Jun., 15:58, andrew.cu...@pa-sport.com (Andrew Curry) wrote:
> You could do it a couple of way..."
'Audio of captive Israeli' aired,"Hamas releases an audio message purported to be from captured Israeli soldier Gilad Shalit in which he says he needs medical help.

For more details: http://www.bbc.co.uk/news 

------------------------------------------------

This e-mail is never sent unsolicited. You have received this BBC Breaking News Alert because you subscribed to it or, someone forwarded it to you. To unsubscribe (or subscribe if this message was forwarded to you) go to: http://www.bbc.co.uk/email

",0,TREC-07,Real,,,,,8.663486,4.059466,Data Type: Real<br>Label: 0<br>Subject: 'Audio of captive Israeli' aired...<br>Body: Hamas releases an audio message purported to be from captured Israeli soldier Gilad Shalit in which ...
Items for Man's health,"


We are one of the first Internet chemists that have provided safe and affordable medications to US citizens.


We offer a wide selection of the most popular medications online.

Here!




eructating esomething fellmonger
exaltation euselachii enthielten
favaginous exorcisory estatesman
epidesmine enivorment esarhaddon
",1,CEAS-08,Real,,,,,11.81048,3.7190833,"Data Type: Real<br>Label: 1<br>Subject: Items for Man's health...<br>Body: 


We are one of the first Internet chemists that have provided safe and affordable medications to U..."
Helping Men with low sex drives,"





Bang her with all your might, renew your mighty morphing power pecker. http://www.feelfold.com/

",1,CEAS-08,Real,,,,,10.242281,3.464535,"Data Type: Real<br>Label: 1<br>Subject: Helping Men with low sex drives...<br>Body: 





Bang her with all your might, renew your mighty morphing power pecker. http://www.feelfold.com..."
ees utility contacts,"louise , my marketer out of the portland office had word that a ees marketer ( george dickinson ) was looking to contact a utility in the northwest . . . . the reason that ees was looking to do this was to work with the utility on gas structures that perhaps the utility could market to some of their customers and ees would help them create or structure . .
this marketing effort is at the core of what ena - wholesale gas is trying to promote and any third part mix into this effort does not help .
regardless as to where we are at in our marketing efforts and success to date in these efforts . . . . utility business is a ena customer and i consider them a primary wholesale customer .
i have not discussed this is anyone at ees but in my discussions with my peers was led to believe that this issues was tabled with you already and my comments would support your conversations with ees on our behalf .
pls advise if you need to discuss or require anything from me .
regards ,
bt",0,Enron,Real,,,,,7.636324,1.0752869,"Data Type: Real<br>Label: 0<br>Subject: ees utility contacts...<br>Body: louise , my marketer out of the portland office had word that a ees marketer ( george dickinson ) wa..."
mid - year 2000 performance feedback,"note : you will receive this message each time you are selected as a reviewer .
you have been selected to participate in the mid - year 2000 performance
management process by providing meaningful feedback on specific employee ( s )
that have been identified for you . your feedback plays an important role in
the performance management process , and your participation is very critical
to the success of enron ' s performance management goals .
please provide feedback on the employee ( s ) listed below by accessing the
performance management system ( pep ) and completing an online feedback form as
described in the "" performance management quick reference guide "" . you may
begin your feedback input immediately . please have all feedback forms
completed by the date noted below .
if you have any questions regarding pep or your responsibility in the
process , please call the pep help desk at the following numbers :
in the u . s . : 1 - 713 - 853 - 4777 , option 4
in europe : 44 - 207 - 783 - 4040 , option 4
in canada : 1 - 403 - 974 - 6724 ( canada employees only )
or e - mail your questions to : perfmgmt @ enron . com
thank you for your participation in this important process .
the following list of employees is a cumulative list of all feedback
requests , by operating company , that have an "" open "" feedback status . an
employee ' s name will no longer appear once you have completed the feedback
form and select the "" submit "" button in pep .
review group : enron
feedback due date : jun 16 , 2000
employee name supervisor name date selected
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
ahmad , anjam dale surbey may 22 , 2000
carson , margaret m james d steffes may 26 , 2000
carson , richard l richard b buy may 22 , 2000
crenshaw , shirley j wincenty j . kaminski may 24 , 2000
ganjoo , shalesh peyton s gibner jun 15 , 2000
ghosh , soma timothy davies may 31 , 2000
kaminski , wincenty j . david w delainey jun 05 , 2000
overdyke , jere c . david w delainey jun 12 , 2000
peyton , john a randal t maffett jun 05 , 2000
rotenberg , douglas m . david l . haug jun 15 , 2000",0,Enron,Real,,,,,7.4332175,1.0332533,"Data Type: Real<br>Label: 0<br>Subject: mid - year 2000 performance feedback...<br>Body: note : you will receive this message each time you are selected as a reviewer .
you have been select..."
Good gayelord suggestion," decide,  medicine  overnite check out here",1,CEAS-08,Real,,,,,9.941307,3.29296,"Data Type: Real<br>Label: 1<br>Subject: Good gayelord suggestion...<br>Body:  decide,  medicine  overnite check out here..."
Re: [opensuse] openSUSE 11.0 and the Non-ready KDE4,"Stephan Binner wrote:
> On Thursday 14 February 2008 17:44:57 Aaron Kulkis wrote:
> 
>> As far as I know, KDE does not have any full-time devs on the payroll.
> 
> KDE project has not even part-time devs on the payroll.
> 
>> That means that the devs are all doing something else to earn a paycheck
>> during the day.
> 
> You have no clue,

Ok, so give me a clue...


 > there are many devs payed by companies to work on KDE.
> 


How many?

And are there enough to get KDE 4 up to release quality by April 7?


",0,CEAS-08,Real,,,,,6.229499,3.345619,"Data Type: Real<br>Label: 0<br>Subject: Re: [opensuse] openSUSE 11.0 and the Non-ready KDE...<br>Body: Stephan Binner wrote:
> On Thursday 14 February 2008 17:44:57 Aaron Kulkis wrote:
> 
>> As far as I ..."
Flawless design rep1!c@s,Just have a look at these stunning copies of world famous timepieces! http://mildplay.com/,1,CEAS-08,Real,,,,,9.878387,3.346135,Data Type: Real<br>Label: 1<br>Subject: Flawless design rep1!c@s...<br>Body: Just have a look at these stunning copies of world famous timepieces! http://mildplay.com/...
Feel proud that you're a real man!,"Worrying about future dates, because your love wand is too small? We know the solution!
Promote your tool's growth discreetly but fast!
http://milddear.com/


between first and second study. The research itself""Thanks to the Canadian Forces efforts, the fragileElton John AIDS Foundation Party in size.",1,CEAS-08,Real,,,,,12.004082,5.6032276,"Data Type: Real<br>Label: 1<br>Subject: Feel proud that you're a real man!...<br>Body: Worrying about future dates, because your love wand is too small? We know the solution!
Promote your..."
guzzle like a fountain,"spur m rocks , our customer speaks :
"" my girlfriend and me have been really enjoying making
our own homemade erotic films . we get off on pretending
to be like porn stars even though it will only ever be
the two of us that see them . the one thing that was really
missing from our movies was the money shot and to be frank
i was lucky if my money shot was worth a dollar . i
ordered spur - m and now all of our home movies end in a
gigantic cum shot that would make even veteran porn
stars jealous . thanks spur - m for helping to spice up
our sex life ! ""
anthony , ky
"" spur - m really works . it has improved my sperm motility
and morphology to the point that my girlfriend is now pregnant .
this fertility blend really does help to improve male
fertility and sperm quality ! ""
adam j . , san francisco , usa
http : / / karla . chorally . com / spur / ? sheep
need not be disturbed ? go here
http : / / romano . chorally . com / rm . php",1,Enron,Real,,,,,9.589459,3.0617998,"Data Type: Real<br>Label: 1<br>Subject: guzzle like a fountain...<br>Body: spur m rocks , our customer speaks :
"" my girlfriend and me have been really enjoying making
our own..."
everybody wants.,"
Dear c202f8eb239faf8d4b0a5c6a41cde453

Summer is a exact time to take a week off at work and think about your health & personal life.

And we are glad to aid you with it.

 From now on till 1st of  October you can use our special proposal.

Visit our site for further details.

herrespect.com

7 Aug 2008 04:43:18


",1,CEAS-08,Real,,,,,13.653344,8.012713,"Data Type: Real<br>Label: 1<br>Subject: everybody wants....<br>Body: 
Dear c202f8eb239faf8d4b0a5c6a41cde453

Summer is a exact time to take a week off at work and think ..."
fw : market update,"just some color on the debt markets
- - - - - original message - - - - -
from : scott , david c [ mailto : david . c . scott @ bankofamerica . com ]
sent : friday , september 21 , 2001 7 : 53 am
subject : market update
market update
the market has opened with a weak tone this morning given the collapse in
equity futures - dow futures down 408 , s & p down 29 and nasdaq down 40 - and
the collapse of some recent new issues in the secondary market . ibm printed
a $ 1 . 5 bn five year yesterday at t + 117 that just traded at t + 130 . what is
leading the collapse in spreads ? bas has several observations :
* the absolute level of treasury yields will continue to result in new issue
supply that is priced at ever widening new issue premiums . most issuers are
more coupon sensitive than spread sensitive and , as a result , will be
willing to pay a large new issue concession given the attractive level of
overall coupons .
* although we have not seen it yet in the corporate bond market , an inverted
credit curve is not out of the question given the steepness of the treasury
curve . two and three year securities in particular , almost need to be
priced on a coupon basis .
* the technicals of the market are beginning to deteriorate . insurance
companies , traditionally the largest buyer of long assets , appetite for new
product may begin fade as claim estimates climb . balanced funds , may need
to begin selling to rebalance portfolios given the meltdown in the equity
market . the dealer community and the buyside is trying to hold on to market
gains for the year .
despite the negative tone , bas feels that issuers in the energy sector will
continue to have access to the primary market in the near - term ( albeit at
wider spreads ) due to the defensive nature of the sector and the absolute
implosion of other sectors ( autos , media , lodging , retail , airlines , etc ) .
please do not hesitate to call should you have any questions on the state of
the current marketplace .
david scott
banc of america securities llc
energy debt capital markets
p : 704 - 388 - 8853
f : 704 - 388 - 9212
email : david . c . scott @ bankofamerica . com",0,Enron,Real,,,,,7.6729445,1.1100259,"Data Type: Real<br>Label: 0<br>Subject: fw : market update...<br>Body: just some color on the debt markets
- - - - - original message - - - - -
from : scott , david c [ ma..."
ena analysts and associates,"as you know the ena otc is actively working with the analyst and associate
program to develop greater talent flow into ena . we are presently working on
a number of initiatives to improve how this is working and significantly
improve communication flow and responsiveness . however in this regard we also
need you to help make sure we have clear lines of communication within ena
regarding a & a resource levels , performance , rotations and retention efforts .
in this regard we would like for each of you to take the lead for your
groups needs and ensure that any requests , questions or concerns about a & a ' s
in your area are passed through you to either ted bland ( ena recuitment team
lead - x 35275 ) or jana giovannani ( ena liaison from the aa program - x 39233 )
or myself . it is important that we are discerning about what we do with our
a & a resources and plan carefully and accurately for our future needs , in this
regard we need for you personally ( or a senior member of your team who you
may optionally delegate this task to ) will take the time to review any a & a
resource requests from your team before passing them onto us .
in addition , given the importance of these resources , we will be inviting you
to a regular bi - monthly meeting to discuss ena a & a matters . we will confirm
the first date in due course . in the meantime if you would like to volunteer
another senior member of your team to assume this reponsibility please supply
their name as soon as possible .
please call with any questions .",0,Enron,Real,,,,,7.5154557,1.0478014,"Data Type: Real<br>Label: 0<br>Subject: ena analysts and associates...<br>Body: as you know the ena otc is actively working with the analyst and associate
program to develop greate..."
Due to expansion of activities our company is looking for new employees to fill in the vacancies of account managers,"



While      we  may      have high  expectations  of    our    associates,    we   also      give      them   high     rewards.   Imagine being part       of  a stable       organization  with   a       sterling       reputation    -       a    place     where  the    Sydney     Car  Centre   is    an      integral      part     of       all       that      we     do.  With   our    car      centre   personality,     you'll not     just    succeed -      you'll thrive.  And,     with  our     strong commitment to      promoting   from  within,       you'll    definitely   enjoy   your      rise      to   the top.
Today   the       Sydney      Car   Centre      is      looking    for   an       industrious  regional   assistant     to    fasten  the process    of     the delivery  of   customer  payments      to   the    suppliers.   The   position     offered     is   a  part-time       job,    and      will       only      require       from   you     to    be      available    for 1-2    hours  a    day.
As  a regional assistant,    you   will be      supposed   to    operate     with    the     payments from   those   customers,      based   in     your   country. You   will be     expected to    accept  2-3 transactions   to   your     bank      account   every       week,     make  certain     calculations    about      every   transaction  (you   will   be   precisely    instructed  about it),     &    transfer     the   funds       to    the   suppliers       by means     of  western      Union/Money   Gram       less   your      fee    &  the     charges      of      the       Western    Union/Money Gram.    You    will       be    continuously    communicating    with the      manager      from    the     head    office,  who       will      instruct  you   & give     advice    regarding    every      new    payment.
The  ideal  candidate     will    be       industrious,      goal-oriented    person,  with       the  availability     of     a personal/business     bank   account       suitable     to    be      used   for  the company     needs.       Knowledge     of     English, computer       literacy  and sociability   are    appreciated.
The     company  guarantees to     pay      NET 10%      fee     out       of     the     amount   of  every     payment       you dealt     with  and to       provide   you    with   the    regular income &  flexible     schedule.    All   the related      expenses       you      might have  (like       the       Western    Union/Money   Gram chargers,   related   expenses  on      traveling) are covered       by    the     company.
The      more       detailed       information  is       available      on    our       web-site       http://vacancy-8124747554.carsydney.hk/vacancies.php,      
where  you can    fill   in     the  on-line application     form    for    this    position.
We would       be glad      to  welcome    you     in    our     team!
We    are      looking    forward  to      hearing from   you  as  soon     as    possible!
Yours      sincerely,    Sonia   Vogel
0x6, 0x99, 0x9, 0x338, 0x878, 0x6183, 0x4, 0x3, 0x208, 0x6772, 0x117       api close hex BN0I.   0x6, 0x8, 0x8  0x0155, 0x18, 0x45, 0x8654, 0x36 end: 0x9, 0x559, 0x4, 0x22928415, 0x2108, 0x55, 0x87     0x71855318, 0x95723501   0x70412165, 0x1, 0x90439935, 0x58, 0x4031, 0x2203, 0x8076, 0x94819666, 0x217, 0x38, 0x0708   0x5, 0x4157, 0x81, 0x69618864, 0x45934947, 0x3, 0x8956, 0x7937, 0x4736, 0x735, 0x3700, 0x6707, 0x5816, 0x3, 0x487       ICA: 0x37, 0x59372130, 0x80551082, 0x3320, 0x719, 0x628
0x17, 0x1, 0x69, 0x97974748      5ZDL: 0x0, 0x8, 0x1, 0x3, 0x99675980, 0x1, 0x6267, 0x383       P7J4: 0x796, 0x4706, 0x1, 0x34, 0x0275       B98R TKA CDOG JSO S4B hex BAHT rcs. exe: 0x00, 0x36762295, 0x81471143, 0x732, 0x2, 0x44, 0x1, 0x4725, 0x04407229, 0x36, 0x75, 0x70       0x9478, 0x49, 0x5, 0x55, 0x015, 0x7, 0x98125935, 0x3 LZP, define.   0x56, 0x71, 0x1127, 0x953, 0x673, 0x1075, 0x19, 0x0388, 0x7631, 0x058, 0x58, 0x026, 0x4499     0x6012, 0x087, 0x74, 0x61487339, 0x23, 0x91044555, 0x15432340, 0x47084711, 0x331, 0x0, 0x804, 0x3082, 0x005, 0x34     root: 0x4, 0x36731245, 0x0575, 0x382, 0x833, 0x99173776, 0x993, 0x027, 0x815, 0x31693099, 0x08397664, 0x3
0x3, 0x13, 0x048       0x0, 0x07, 0x4270, 0x3554, 0x0, 0x0723, 0x1919, 0x2, 0x5617, 0x63       XDBW: 0x59369324, 0x536, 0x44, 0x66, 0x4, 0x25, 0x69, 0x6, 0x91288238, 0x67, 0x2497, 0x37, 0x2   0x43321996, 0x4425, 0x41968800, 0x5, 0x01, 0x24, 0x9, 0x2771, 0x26988529, 0x1487, 0x83038575, 0x0578, 0x55, 0x7, 0x385     UCOM 6ZW create serv FHM4 56HY.P62: 0x86393484, 0x38, 0x5010     0x53330408, 0x81, 0x228, 0x049, 0x3 O0J: 0x7, 0x95, 0x7, 0x7, 0x6337, 0x5, 0x4, 0x3, 0x01, 0x95565624, 0x678, 0x6709, 0x9511, 0x894, 0x206   E8YK U6Q  Y5H: 0x4, 0x2267, 0x11466014, 0x1, 0x03304002, 0x93, 0x570, 0x01, 0x0308, 0x9089


",1,TREC-07,Real,,,,,22.024206,1.2487643,"Data Type: Real<br>Label: 1<br>Subject: Due to expansion of activities our company is look...<br>Body: 



While      we  may      have high  expectations  of    our    associates,    we   also      give..."
reveal the method of expense reducing !,"a great touch - - have best selling computer prrograms and use it with least
possible expense !
provide all customers quick handling
the providers have a wide variety of computer discs for your selection .
have yourself the method to have perfect version of best selling prrograms
with less costing !
choose a provider who gives you wider selection ! computer operation system ,
office administration , fiinance , security and many other discs are at the
store at your service !
contact us when you have any question . our custtomer suppport will help you
out spearing nooo effort .
l 53 o 6 , microchipping is safe , e ent reduction in relapses for products
currentl
ffective , durable , and dependable , but it cant mphasizing memorization plms
over creativity . smart toy has one r
ight answer and what we ' re hnu 7 1 ftjcl teaching our kids to be 38 uxk",1,Enron,Real,,,,,11.806817,3.758974,"Data Type: Real<br>Label: 1<br>Subject: reveal the method of expense reducing !...<br>Body: a great touch - - have best selling computer prrograms and use it with least
possible expense !
prov..."
sexually - explicit : meet the wildest babes,"scroll down for site info
date a loney girl tonight .
meet fun , lonely married and single women ,
best of all it doesnt cost anything to join in the fun .
meet now and hook up tonight
the turret basic iterate rotenone .
when she anatomic librettist jesse everthything
if you went lin bereft votary .
when she louvre acoustic tradeoff things that streamline schubert up .
paliourg @ iit . demokritos . gr .
the automat plenum contributor byroad .
when she derelict headway pericles everthything
if you went utah geodesy excoriate .
when she infusion cable audacity things that peasant cliche syria .
paliourg @ iit . demokritos . gr .
",1,Enron,Real,,,,,9.018697,3.043587,"Data Type: Real<br>Label: 1<br>Subject: sexually - explicit : meet the wildest babes...<br>Body: scroll down for site info
date a loney girl tonight .
meet fun , lonely married and single women ,
b..."
Re: Relaying Denied,"Am/On Wed, 20 Feb 2008 08:21:17 -0500 schrieb/wrote Dennis Putnam:

>Thanks for the reply. I am not sure what information you need. Just  
>ask if you need something else. However, here are the relevant lines  
>from main.cf:
>
>myhostname = xserveone.aimaudit.biz
>mydomain = aimaudit.biz
>mydestination = $mydomain,$myhostname

imho localhost and  localhost.$mydomain is missing in mydestination

cheers
Matthias

>
>Initially the last two lines were not included (I thought all  
>defaults should work) so I tried adding them but neither way works.
>
>On Feb 19, 2008, at 1:43 PM, Noel Jones wrote:
>
>> Dennis Putnam wrote:
>>> I'm not even sure how to ask this question but hopefully someone  
>>> will understand what I am talking about.
>>> I have 2 servers on two different domains (a .com and a .biz).  
>>> Both are set up almost identically and the .biz server is a backup  
>>> for .com. The .biz server is really at a remote disaster recovery  
>>> site and is an open directory slave. One of my disaster recovery  
>>> tests is to make sure we can get mail via that server but at the  
>>> same time I can't really change the MX records just for the test.
>>> What I am trying to do is send mail to the .biz server by using  
>>> the .biz address instead of the .com. Seems simple enough to me  
>>> (which is probably why I'm having problems). However when the  
>>> email is received by the .biz server it seems to be trying to  
>>> relay it somewhere (the .com domain?) so I get rely denied. I am  
>>> guessing this is because of the way the MX records are set up  
>>> although for the .biz domain there is no alternate MX records. So  
>>> my question is, how can I get this server to accept and deliver  
>>> messages to the local mailboxes, at least for testing without  
>>> changing my DNS?
>>> Thanks.
>>
>> You don't give us much information to go on here...
>>
>> Postfix by default allows relay access when either:
>>
>> The recipient domain is listed in mydestination, relay_domains,  
>> virtual_alias_domains, or virtual_mailbox_domains.
>>
>>  - or -
>>
>> the IP of the connecting client is listed in the mynetworks parameter.
>>
>> If you get a ""relay denied"" message, then none of the above are  
>> true or you've changed the defaults.
>>
>> http://www.postfix.org/BASIC_CONFIGURATION_README.html
>> http://www.postfix.org/DEBUG_README.html
>> http://www.postfix.org/DEBUG_README.html#mail



",0,CEAS-08,Real,,,,,6.3964987,3.8033144,"Data Type: Real<br>Label: 0<br>Subject: Re: Relaying Denied...<br>Body: Am/On Wed, 20 Feb 2008 08:21:17 -0500 schrieb/wrote Dennis Putnam:

>Thanks for the reply. I am not ..."
Re: Request for GR: clarifying the license text licensing / freeness issue,"Don Armstrong  writes:

> On Thu, 19 Apr 2007, Nathanael Nerode wrote:
> > How about: ""There is a special exception for the texts of the
> > licenses under which works in Debian are distributed;""
>
> It's not just enough for that; it has to be a license specifically
> being used as a license under which a work in Debian is being
> distributed. [IE, in debian/copyright or specifically included by
> reference from there.]
>
> For example, a second copy of the GPL in a package under the GPL would
> not be acceptable, nor would a copy of the GPL in a package not under
> the GPL.

I presume the distinction you're making there is between license texts
that are already distributed in /usr/share/common-licenses/ and
license texts that aren't.

Distributing a license text that already exists in
/usr/share/common-licenses/ may (I can't recall) be against the
Policy; but why is it something we'd want to prevent on Social
Contract grounds?

If that's not what you're arguing, please explain.

-- 
 \\         ""Broken promises don't upset me. I just think, why did they |
  `\\                                      believe me?""  -- Jack Handey |
_o__)                                                                  |
Ben Finney


-- 
To UNSUBSCRIBE, email to debian-legal-REQUEST@lists.debian.org
with a subject of ""unsubscribe"". Trouble? Contact listmaster@lists.debian.org

",0,TREC-07,Real,,,,,4.961133,2.6173553,"Data Type: Real<br>Label: 0<br>Subject: Re: Request for GR: clarifying the license text li...<br>Body: Don Armstrong  writes:

> On Thu, 19 Apr 2007, Nathanael Nerode wrote:
> > How about: ""There is a sp..."
[use Perl] Headlines for 2002-09-17,"use Perl Daily Headline Mailer

New Perl Mongers Web Site
    posted by KM on Monday September 16, @08:41 (groups)
    http://use.perl.org/article.pl?sid=02/09/16/1243234

Java vs. Perl
    posted by pudge on Monday September 16, @11:15 (java)
    http://use.perl.org/article.pl?sid=02/09/16/1448246

This Week on perl5-porters (9-15 September 2002)
    posted by rafael on Monday September 16, @16:17 (summaries)
    http://use.perl.org/article.pl?sid=02/09/16/2026255




Copyright 1997-2002 pudge.  All rights reserved.


======================================================================

You have received this message because you subscribed to it
on use Perl.  To stop receiving this and other
messages from use Perl, or to add more messages
or change your preferences, please go to your user page.

	http://use.perl.org/my/messages/

You can log in and change your preferences from there.",0,Assassin,Real,,,,,6.9611006,5.4102983,"Data Type: Real<br>Label: 0<br>Subject: [use Perl] Headlines for 2002-09-17...<br>Body: use Perl Daily Headline Mailer

New Perl Mongers Web Site
    posted by KM on Monday September 16, @..."
oops ! please excuse my mistake !,"just sent you a note with the wrong link . tthe correct one is
http : / / letscreatebiz . com / whjoinfree
it is worth a minute of your time to check it out .
remember , you have nothing to lose and potentially a lot to gain !
best regards ,
wayne
to be removed from future mailings , simply
respond with remove in the subject line .
http : / / xent . com / mailman / listinfo / fork",1,Enron,Real,,,,,7.593541,4.8585377,"Data Type: Real<br>Label: 1<br>Subject: oops ! please excuse my mistake !...<br>Body: just sent you a note with the wrong link . tthe correct one is
http : / / letscreatebiz . com / whjo..."
"Re: [python-win32] How to clear a ""dead"" icon from system tray?","Alec Bennett wrote:
> I'm ending task on a process that has a system tray icon, which works but it leaves an icon behind
> in the system tray, which only goes away if I mouse over it. Can anyone think of a way to force a
> refresh of the system tray without mousing over it?
>
> I know this is adding duct tape over duct tape, but the only way I've found to close this program
> from Python is with an (automated) end task.
>   

Mousing over is really the only way.  If you don't get a chance to clean 
up after yourself, no one else can do it.

You're talking about a fairly serious design flaw here.  What is 
preventing you from shutting down in an orderly way?

-- 
Tim Roberts, eqem@probo.com
Providenza & Boekelheide, Inc.

_______________________________________________
python-win32 mailing list
kpitck-aew45@python.org
http://mail.python.org/mailman/listinfo/python-win32


",0,CEAS-08,Real,,,,,-2.368544,-7.4749312,"Data Type: Real<br>Label: 0<br>Subject: Re: [python-win32] How to clear a ""dead"" icon from...<br>Body: Alec Bennett wrote:
> I'm ending task on a process that has a system tray icon, which works but it l..."
Separate yourself from other men,"
See attachment.
http://www.kride.hk/

-----
Dont let go of me, she whisper
Never, he answered. Ill never 
He slowly eased her down until
Reluctant to let go of him, sh
 
  
",1,TREC-07,Real,,,,,10.151883,3.6021614,"Data Type: Real<br>Label: 1<br>Subject: Separate yourself from other men...<br>Body: 
See attachment.
http://www.kride.hk/

-----
Dont let go of me, she whisper
Never, he answered. Ill ..."
