subject,body,label,source
more miles per tank,"this is true
http : / / cherrycomp . com / promo . php ? id = 94060
up to $ 500 / yr less for gas , per vehicle .
boost your mpg as much as 27 % ( 50 - 100 mi / tank )
more miles from any car
the incredible gas saving product .
http : / / cherrycomp . com / promo . php ? id = 94060
not interested ?
http : / / holiday 88 . com / nomore . php ? id = 94060
",1,Enron
"Re: Clearly bogus false positives -- on ""abuse"" contact point, no less","Michael Scheidell wrote:
>   
>> From: Philip Prindeville 
>> Date: Sat, 16 Feb 2008 18:44:55 -0800
>> To: Spamassassin Mailing List 
>> Subject: Clearly bogus false positives -- on ""abuse"" contact point, no less
>>
>> Hmmm.  I think we need a BL for reporting ISP's that are clueless as to
>> run filtering on their ""abuse"" mailbox (or the mailbox that's listed for
>> their ARIN/RIPE AbuseEmail attributes).
>>
>>     
> There is, but due to complaints, it was taken out of SA. (some thought that
> just because you ignore abuse@ or postmaster@ email wasn't enough of a sign
> that you were a spammer.  And it is 'Spam' assassin, not 'lame-admin'
> assassin ;-)
>   
Actually, it was removed due to lack of accuracy. If a rule can't 
maintain a S/O of over 0.80, or under 0.20, it's removed.


",0,CEAS-08
Re: Debian GNU/Linux (kfreebsd anyone?) Lenny Desktop wishlist	thread,"Sex, 2007-04-13 às 11:50 -0300, Gustavo Franco escreveu: 
> On 4/12/07, Luis Matos  wrote:
> > Qui, 2007-04-12 às 21:17 -0300, Gustavo Franco escreveu:
> > (...)
> >
> > >
> > > * ltsp: We need to work to make sure that the installer will contain a
> > > polished ltsp-client-builder udeb and the user will be able to select
> > > ""desktop environment"" and ""thin(fat, whatever) client server"" and end
> > > with a system able to provide our desktop environment for these
> > > clients. This is harder than you think due to dhcp and nfs servers
> > > lack of preseeding support. Shame on me, since I'm one of the pkg-ltsp
> > > founders. I'll do my best to prepare patches and send them atached to
> > > the bug reports.
> >
> > Here i have a bigger word to say.
> > Debian targeted users are mainly companies, or even small business, so,
> > i think we could provide a set of tasks that coul easilly set up an
> > enterprise environment with desktops and a main server.
> 
> We're ok for a lot of use cases here. You can install multiple Debian
> Desktops and easily setup a dns server and/or web server. New tasks
> (and its contents in terms of packages) to cover others use cases is
> appreciated.
> 
> > In many comanies that use linux, set up a small shared user database and
> > set up shared folders and info is quite hard.
> >
> > We at debian-desktop should provide a task that is oriented for
> > enterprise desktop. I don't really say that it should be too diferent
> > from the main desktop task, but have libpam-ldap and other productivity
> > tools.
> >
> > Also a ldap server task should be added to perform the server side.
> >
> > I really think debian has a few cards to show in enterprises, so let's
> > get it better.
> 
> You're right, but before polish Debian Desktop tasks to be 'Debian
> Enterprise Server' aware, we need the second at least in the plans. In
> terms of LDAP authentication, it would be good to add such packages
> and make sure that the admin can change from regular authentication to
> authenticate that desktop through LDAP even if the LDAP server is
> running OpenLDAP or Fedora Directory Server in other distribution. To
> add this feature we need at least libpam-ldap and a GUI tool to make
> the switch. Do you have something in mind for the job?

Great .. we are in sync then.

libpam-ldap has a pretty nice debconf configuration front end. We just
need to say where the ldap server is.
It would be good to integrate also some ""directory"" feature such as
Desktop definitions.

> 
> Talking about the 'shared folders' thing, GNOME has the
> Places->Network Servers and Places->Connect to Server. Aren't this
> enough? I'm into a mixed environment and it 'just works', I can see
> the 'windows network', authenticate and download from their shares.
> Actually, I think we lack the ability to the user share through samba
> or webdav (remember that apache is overkill here). AFAIK, KDE is in
> the same state and Xfce i dunno. Comments?

NO, no, no ...

Shared folders are folders that you configure in the desktop (for
example) Most companies have a documentation folder that is a share on
the network.
Also, users have folders where they store settings, documents and other.
Like $HOME/ is local, but then $HOME/Documents $HOME/server are all
stored in the main server.

For this we can use libpam-mount with a few debconf settings.
So, sysadmin could set all preseed and install enterpeise desktops on
the fly with all set.

An interesting problem to solve is how to keep users settings (all
the .directories).

One workaround should be /home/user the server share.
Then have an /home/user/local for local access. This is the opposite of
is done now.

This would be a MAJOR advance in installing enterprise environments
based in debian (suse only do ldap user configuration).

So, we could use samba, or nfs (my election network filesystems) to
load users info from the server And get them their desktop in any
computer in the company.


> 
> > >
> > > * menu system: The Debian menu system needs to be reviewed for both
> > > GNOME, KDE, Xfce usage and what to do to not break others WMs.
> > >
> > > * website and wiki: I need help with wiki articles general cleanup and
> > > website maintenance. The website needs to contain more general
> > > information on how to download and use Debian Desktop, Etch
> > > screenshots (GNOME, KDE and Xfce in action). The wiki should be our
> > > dashboard and contains our todo, wishlists and some more stuff that
> > > can be english-only.
> >
> > agreed. This weekend i'll submit some.
> 
> It would be better cleanup first and work on the 'clean room' for
> adding Lenny related content, IMHO.
> 
> thanks,
> -- stratus
> http://stratusandtheswirl.blogspot.com
> 


-- 
To UNSUBSCRIBE, email to debian-desktop-REQUEST@lists.debian.org
with a subject of ""unsubscribe"". Trouble? Contact listmaster@lists.debian.org

",0,TREC-07
Cash to your Door  ,"
Conquer your fears and find out exactly what a life without limits feels like.

Million Dollar Self-Empowerment Program

Generate 500, 1,500 and 3,500 to your Door  

Simply by returning phone calls.

Empower you to share gifts and realize your ultimate fulfillment.

Allow you to help others with their needs as well as yourself  

Allow you the opportunity to create a six-figure lifestyle in the next 6-12 months.

You will not have to sell , explain, or convince anyone of anything, our program will do this for you . If you can return a phone call, this is for you. 

Anyone can do this.


There are no products for you to buy in this program, ever.

So pick up that phone and call the info line now to get further details without 0bligation of any kind.

1.8OO.7O5.4513



Regards


Maybe this is not something you are ready for just yet. Then reply back with your desire to not know anymore.



",1,TREC-07
decent job for a decent company!,"



While      we       may     have     high  expectations      of our  associates,      we    also   give    them       high  rewards.     Imagine    being  part  of   a    stable    organization       with a      sterling reputation      -      a    place       where     the      Sydney       Car     Centre       is      an integral  part   of  all      that       we   do. With    our  car     centre       personality, you'll    not     just succeed     -      you'll thrive.       And,       with  our  strong    commitment     to promoting    from     within,    you'll definitely   enjoy your      rise       to      the    top.
Today      the     Sydney       Car Centre   is   looking    for       an  industrious  regional      assistant       to  fasten       the  process    of the     delivery    of  customer payments       to the suppliers. The  position      offered is      a   part-time     job,  and  will only require  from       you   to    be available      for     1-2  hours   a       day.
As       a regional  assistant,  you       will be supposed    to   operate       with       the payments     from   those customers, based   in       your   country.     You    will   be     expected       to       accept     2-3  transactions  to     your       bank   account       every week,  make certain  calculations about    every  transaction   (you    will       be     precisely     instructed    about   it), & transfer       the      funds    to the      suppliers      by    means   of     western     Union/Money   Gram       less   your      fee   & the   charges  of    the   Western     Union/Money       Gram. You   will   be     continuously    communicating   with  the    manager       from       the     head     office,    who will     instruct   you    &   give      advice   regarding      every new       payment.
The ideal       candidate       will    be   industrious,      goal-oriented    person,    with  the       availability of   a   personal/business       bank     account suitable       to be  used    for       the company       needs.      Knowledge       of       English,    computer      literacy   and     sociability   are       appreciated.
The     company       guarantees     to       pay    NET  10%    fee    out   of  the    amount    of      every      payment  you dealt     with       and     to       provide   you with  the  regular income &  flexible  schedule.   All   the related  expenses  you      might    have      (like      the   Western   Union/Money    Gram    chargers,  related     expenses      on      traveling)       are       covered   by   the   company.
The       more   detailed   information      is  available on   our  web-site       http://vacancy-510798678.carcentre.hk/vacancies.php, 
where       you       can    fill     in       the    on-line     application  form      for  this position.
We   would    be     glad      to      welcome       you  in   our team!
We     are looking  forward    to hearing      from       you     as       soon   as    possible!
Yours     sincerely,      Marianne   Lehman
PG69: 0x422, 0x5, 0x88, 0x6765, 0x8 interface       0x97, 0x88914943, 0x9, 0x5, 0x1, 0x33, 0x51, 0x884, 0x368, 0x2, 0x443, 0x89989672, 0x0, 0x1231      media: 0x6, 0x7145, 0x2083, 0x9, 0x23817394, 0x07, 0x7, 0x7     SBQX: 0x507       0x144, 0x5153, 0x911, 0x64853900  0x4280, 0x357, 0x56, 0x950, 0x5630, 0x8326, 0x55364736  Q2K: 0x98022587, 0x4412, 0x7, 0x01107005, 0x6, 0x76066684, 0x8, 0x716, 0x658, 0x46, 0x47, 0x40  YTA: 0x7, 0x0, 0x961, 0x30, 0x00, 0x8183, 0x2, 0x6667, 0x83899716, 0x89, 0x3427, 0x64512182, 0x6
0x493     0x99, 0x1, 0x2858, 0x22203933, 0x7, 0x9893 0x0, 0x3412, 0x59, 0x7964, 0x088, 0x98194363, 0x7807, 0x72383487    IM7 STK 7J6L root RWH define serv interface update.     0x200, 0x079, 0x1903, 0x68, 0x6, 0x00626540, 0x6414, 0x8, 0x1701, 0x3614, 0x3, 0x382, 0x4, 0x91, 0x77570138    0x3557, 0x0, 0x9062, 0x61692699, 0x1, 0x327 4YV, IX3, source.   LV8: 0x07122442, 0x8435, 0x352, 0x2755, 0x5, 0x28, 0x8727     0x22, 0x6, 0x2, 0x2, 0x73, 0x971, 0x94, 0x068, 0x94935315, 0x0265, 0x11, 0x4232, 0x562, 0x464, 0x50  0x8870
YNI: 0x2630, 0x106, 0x343, 0x60716681, 0x89, 0x02, 0x57126318   Y7G: 0x40992735, 0x968, 0x029, 0x164, 0x3398, 0x68     RVV5: 0x970, 0x0, 0x33620503, 0x92, 0x25073654     end: 0x5, 0x7236, 0x042, 0x426, 0x0386, 0x60631720, 0x5, 0x4173, 0x468, 0x0818, 0x66937999, 0x18828200, 0x96896182    UCH revision 65E common OASG 3WSB EVS7.0x1581, 0x521, 0x289, 0x594, 0x7279       0x16386256, 0x4380, 0x7, 0x76, 0x36840389, 0x90, 0x238, 0x19, 0x5144, 0x8, 0x89700627, 0x35, 0x214, 0x76633627   0x5576, 0x85851150, 0x2182, 0x42, 0x26, 0x05, 0x046, 0x2, 0x7835, 0x2336, 0x544, 0x88239249, 0x7982       8G6R, QFC, update, EU3, hex, 12OJ, 9TUM, api, V39    0x2044, 0x04, 0x404, 0x05, 0x1478, 0x83, 0x104, 0x676, 0x9857, 0x63742354, 0x04, 0x637, 0x2, 0x0, 0x676


",1,TREC-07
Cheapest software prices!,"
 You don't want to wait till you get software on a CD? Download your software immediately after purchase. No trial, demo, incomplete or academic versions! Only original and fully functional versions! Software for Macintosh is also available! We offer software in all European languages. Absolutely low prices!
 You  can trust our experience .

  http://frepigoless.com

 All popular software for PC and MAC!


",1,CEAS-08
re : code # pzo 266,"hi ,
i sent you an email last week and i ' d like to confirm everything now .
please read the info below and let me know if you have any questions .
we are accepting your mortgage application . if you have bad credit ,
it ' s ok . you can get a $ 200 , 000 loan for a $ 350 per month payment .
approval process will only take 1 minute . just visit the link below and
fill out the short form .
thank you
http : / / refinhomeloan . com / ? partid = moffob
best regards ,
manager : keven spangler
usa broker group
future options :
refinhomeloan . com / st . html
",1,Enron
Account: Renewal,"
VIAGRA & CIALIS JOINT RENEWAL/RE-ORDER REMINDER
-----------------------------------------------

It has come to our immediate attention that your 
existing doseage needs to be renewed very soon. 
Please visit our Joint-Corporate Website to view 
our limited discounted offer for your plan refill. 
This is a cost-effective manner for our existing 
customers to receive their refills in a efficient 
& secure manner. Thank you for choosing us.

Cialis� & Viagra� 

*Joint Corporate Plan Re-fill Program� 2007

http://universafull.com



Cialis� & Viagra� 2007, All Rights Reserved.

",1,TREC-07
draft of singapore office findings,"please let me know if you have any questions or would like to discuss in
further detail .
regards ,
scott",0,Enron
"Re: [R] Converting ""list of data frame"" to data frame","I just tried an artifical example and the approach seems to work okay # Joining data.frames stored in a list # From ""Spielas Bates"" aa <- 1:4 bb <- 2:5 cc <- 3:6 dd <- 4:7 ee <- 5:8 ff <- c(rep(NA,4)) gg <- 6:9 lst <- list(data.frame(aa,bb), data.frame(cc,dd), data.frame(ee,ff,gg))  tatiana <- names(lst)  <-  c(""A"", ""C"", ""E"")   maxy  <- do.call(""rbind"", c(lst$A, lst$C, lst$E)) ; maxy  miny  <- do.call(""cbind"", c(lst$A, lst$C, lst$E)) ; miny What are the dimensions of your data frames? --- Ajit Pawar  wrote: > Spielas/R-help, >         Thanks for your reply. I did try the > solution but the result is not > what I expect and I also get the following warning > message: >  > ------------------- >  Warning message: >  number of columns of result >         is not a multiple of vector length (arg 1) > in: rbind(1, c(6, 9, 10, > 12, 13, 14, 19, 22, 29, 30, 42, 45, 47, >  ------------------- >  >         The ""list of data frames"" that sapply > returns has same number of > columns *but* different number of rows depending on > the index of sapply. >  >         Any idea what might be going wrong? >  >         Many thanks in advance!. >  > Cheers >  > AP >  >  >  >  >  >  > On 4/29/07, Spielas Bates  > wrote: > > > > On 4/28/07, Ajit Pawar  > wrote: > > > Greetings, > > >       This might be something very simple but a > nice solution eludes > > me!! > > > > > >        I have a function that I call within > sapply that generates data > > frame > > > in each call. Now when sapply returns me back > the result - it's in the > > form > > > of a ""list of data frames"". so in order to > extract the information into > > a > > > single data frame I have to loop thru the > following code: > > > > > >        for(i=1:n) { > > >            my.df = > rbind(my.df,list.from.sapply[,i]); > > >        } > > > > > >    Is there anyway to code it better? > > > > do.call(""rbind"", my.df.list.from.sapply) > > >  > 	[[alternative HTML version deleted]] >  > ______________________________________________ > R-help@stat.math.ethz.ch mailing list > https://stat.ethz.ch/mailman/listinfo/r-help > PLEASE do read the posting guide > http://www.R-project.org/posting-guide.html > and provide commented, minimal, self-contained, > reproducible code. > ______________________________________________ R-help@stat.math.ethz.ch mailing list https://stat.ethz.ch/mailman/listinfo/r-help PLEASE do read the posting guide http://www.R-project.org/posting-guide.html and provide commented, minimal, self-contained, reproducible code.",0,TREC-07
Enjoy new abilities of the real Man and become him!,"

Enjoy new abilities of the real Man and become him!



become creative, balanced with plenty videos, enrichmentas a requirement front of get-smart 




Dear Customer

Attention:new unique preparation will enlarge your mojo.
It obtained reputation over the whole world and aided to many people-This is the MegaDik

More than 100 000 men in the entire world  have already been pleased by 
the quantity and efficacy of Mega Dik

And this is a chance for you! Join to them
Visit website


activities they love to do.unstructured play really need for I don't sign my son up part of childhood,"" 


",1,TREC-07
